myo,pi,power,displacement_nm,time_on_ms,force
S217A,0mM-Pi,1.5-W,55.27672468,168,2.2110689872
S217A,0mM-Pi,1.5-W,53.52312399,72.6,2.1409249596
S217A,0mM-Pi,1.5-W,11.83735807,204.6,0.4734943228
S217A,0mM-Pi,1.5-W,17.42466546,115.8,0.6969866184
S217A,0mM-Pi,1.5-W,21.993601,59.4,0.87974404
S217A,0mM-Pi,1.5-W,51.79773028,100.2,2.0719092112
S217A,0mM-Pi,1.5-W,31.23726733,57.4,1.2494906932
S217A,0mM-Pi,1.5-W,67.80723106,167.6,2.7122892424
S217A,0mM-Pi,1.5-W,29.198414,260.6,1.16793656
S217A,0mM-Pi,1.5-W,35.82522476,78,1.4330089904
S217A,0mM-Pi,1.5-W,4.787311853,88.6,0.19149247412
S217A,0mM-Pi,1.5-W,21.04518642,158,0.8418074568
S217A,0mM-Pi,1.5-W,74.95125077,101.2,2.9980500308
S217A,0mM-Pi,1.5-W,38.36937556,76.8,1.5347750224
S217A,0mM-Pi,1.5-W,29.48406834,53,1.1793627336
S217A,0mM-Pi,1.5-W,47.86520412,123.2,1.9146081648
S217A,0mM-Pi,1.5-W,25.6785834,107,1.027143336
S217A,0mM-Pi,1.5-W,50.77376325,144.4,2.03095053
S217A,0mM-Pi,1.5-W,9.872289327,73.4,0.39489157308
S217A,0mM-Pi,1.5-W,70.11285684,50.6,2.8045142736
S217A,0mM-Pi,1.5-W,54.8523444,72.2,2.194093776
S217A,0mM-Pi,1.5-W,25.55949464,77.6,1.0223797856
S217A,0mM-Pi,1.5-W,45.70736406,68.8,1.8282945624
S217A,0mM-Pi,1.5-W,30.19004497,120,1.2076017988
S217A,0mM-Pi,1.5-W,13.41962763,85,0.5367851052
S217A,0mM-Pi,1.5-W,31.99413733,57.8,1.2797654932
S217A,0mM-Pi,1.5-W,35.32101726,54.6,1.4128406904
S217A,0mM-Pi,1.5-W,24.43016129,71.8,0.9772064516
S217A,0mM-Pi,1.5-W,68.88389589,109,2.7553558356
S217A,0mM-Pi,1.5-W,29.47719993,107.8,1.1790879972
S217A,0mM-Pi,1.5-W,15.27507492,94.4,0.6110029968
S217A,0mM-Pi,1.5-W,46.60262802,67.2,1.8641051208
S217A,0mM-Pi,1.5-W,17.14967636,116.4,0.6859870544
S217A,0mM-Pi,1.5-W,25.91447077,79.2,1.0365788308
S217A,0mM-Pi,1.5-W,3.051653206,61.4,0.12206612824
S217A,0mM-Pi,1.5-W,12.93392118,139.8,0.5173568472
S217A,0mM-Pi,1.5-W,29.23471505,53.8,1.169388602
S217A,0mM-Pi,1.5-W,35.46744024,619.4,1.4186976096
S217A,0mM-Pi,1.5-W,13.14418271,157.8,0.5257673084
S217A,0mM-Pi,1.5-W,47.65847594,54.6,1.9063390376
S217A,0mM-Pi,1.5-W,29.707083,74.8,1.18828332
S217A,0mM-Pi,1.5-W,65.17086849,60.8,2.6068347396
S217A,0mM-Pi,1.5-W,12.61281047,64.8,0.5045124188
S217A,0mM-Pi,1.5-W,27.38178846,57.6,1.0952715384
S217A,0mM-Pi,1.5-W,24.97498857,71.2,0.9989995428
S217A,0mM-Pi,1.5-W,14.73027193,57.6,0.5892108772
S217A,0mM-Pi,1.5-W,16.13568507,63.8,0.6454274028
S217A,0mM-Pi,1.5-W,15.4060745,70.8,0.61624298
S217A,0mM-Pi,1.5-W,12.51513697,98.4,0.5006054788
S217A,0mM-Pi,1.5-W,10.15448276,68.6,0.4061793104
S217A,0mM-Pi,1.5-W,76.46753426,67,3.0587013704
S217A,0mM-Pi,1.5-W,32.1813429,65.2,1.287253716
S217A,0mM-Pi,1.5-W,16.82175735,85,0.672870294
S217A,0mM-Pi,1.5-W,44.203341,81.8,1.76813364
S217A,0mM-Pi,1.5-W,20.34282353,74.6,0.8137129412
S217A,0mM-Pi,1.5-W,13.63347159,115.6,0.5453388636
S217A,0mM-Pi,1.5-W,21.57221262,79,0.8628885048
S217A,0mM-Pi,1.5-W,38.26686869,70,1.5306747476
S217A,0mM-Pi,1.5-W,50.67127148,89.6,2.0268508592
S217A,0mM-Pi,1.5-W,24.70863402,168.4,0.9883453608
S217A,0mM-Pi,1.5-W,26.12234737,61.2,1.0448938948
S217A,0mM-Pi,1.5-W,20.59557634,68.8,0.8238230536
S217A,0mM-Pi,1.5-W,36.209236,106,1.44836944
S217A,0mM-Pi,1.5-W,27.46591649,72.6,1.0986366596
S217A,0mM-Pi,1.5-W,40.33889963,72.4,1.6135559852
S217A,0mM-Pi,1.5-W,19.61542826,65.4,0.7846171304
S217A,0mM-Pi,1.5-W,11.29927513,126.8,0.4519710052
S217A,0mM-Pi,1.5-W,26.51075175,199.6,1.06043007
S217A,0mM-Pi,1.5-W,18.80398099,109.4,0.7521592396
S217A,0mM-Pi,1.5-W,17.99161846,92.8,0.7196647384
S217A,0mM-Pi,1.5-W,46.92828,66.4,1.8771312
S217A,0mM-Pi,1.5-W,44.06471045,101.8,1.762588418
S217A,0mM-Pi,1.5-W,64.44871773,68.8,2.5779487092
S217A,0mM-Pi,1.5-W,43.640919,132,1.74563676
S217A,0mM-Pi,1.5-W,9.350625044,119,0.37402500176
S217A,0mM-Pi,1.5-W,13.18320854,94,0.5273283416
S217A,0mM-Pi,1.5-W,0.035085959,163.2,0.00140343836
S217A,0mM-Pi,1.5-W,0.741763385,90.2,0.0296705354
S217A,0mM-Pi,1.5-W,4.905003605,98.6,0.1962001442
S217A,0mM-Pi,1.5-W,50.19756,389.8,2.0079024
S217A,0mM-Pi,1.5-W,34.46634906,102.6,1.3786539624
S217A,0mM-Pi,1.5-W,7.173273792,83.4,0.28693095168
S217A,0mM-Pi,1.5-W,43.42422236,278.6,1.7369688944
S217A,0mM-Pi,1.5-W,16.8466447,85.6,0.673865788
S217A,0mM-Pi,1.5-W,32.04406661,81.6,1.2817626644
S217A,0mM-Pi,1.5-W,21.53837514,71.4,0.8615350056
S217A,0mM-Pi,1.5-W,36.44001182,88.2,1.4576004728
S217A,0mM-Pi,1.5-W,22.43116512,126.4,0.8972466048
S217A,0mM-Pi,1.5-W,1.179750461,101.6,0.04719001844
S217A,0mM-Pi,1.5-W,46.513299,580.6,1.86053196
S217A,0mM-Pi,1.5-W,44.797564,120,1.79190256
S217A,0mM-Pi,1.5-W,9.938064745,178,0.3975225898
S217A,0mM-Pi,1.5-W,20.52380768,198.8,0.8209523072
S217A,0mM-Pi,1.5-W,9.596124507,102.8,0.38384498028
S217A,0mM-Pi,1.5-W,34.00561778,89,1.3602247112
S217A,0mM-Pi,1.5-W,35.35963704,133.6,1.4143854816
S217A,0mM-Pi,1.5-W,27.1459949,199.2,1.085839796
S217A,0mM-Pi,1.5-W,58.82254,130.8,2.3529016
S217A,0mM-Pi,1.5-W,19.86739246,161,0.7946956984
S217A,0mM-Pi,1.5-W,63.24822,78.4,2.5299288
S217A,0mM-Pi,1.5-W,35.0500848,82.2,1.402003392
